"","Region","Year","Gender","Name","Count"
"280","Total Belgium",1995,"Girls","Maude",38
"281","Total Belgium",1995,"Girls","Stacy",38
"282","Total Belgium",1995,"Girls","Marijke",38
"283","Total Belgium",1995,"Girls","Judith",37
"284","Total Belgium",1995,"Girls","Chelsea",37
"285","Total Belgium",1995,"Girls","Eléonore",36
"286","Total Belgium",1995,"Girls","Dounia",36
"287","Total Belgium",1995,"Girls","Asma",36
"288","Total Belgium",1995,"Girls","Nikita",36
"289","Total Belgium",1995,"Girls","Gwenaëlle",36
"290","Total Belgium",1995,"Girls","Evelyne",36
"291","Total Belgium",1995,"Girls","Marjolein",36
"292","Total Belgium",1995,"Girls","Els",36
"293","Total Belgium",1995,"Girls","Lize",35
"294","Total Belgium",1995,"Girls","Jasmine",35
"295","Total Belgium",1995,"Girls","Caro",35
"296","Total Belgium",1995,"Girls","Kathleen",35
"297","Total Belgium",1995,"Girls","Géraldine",35
"298","Total Belgium",1995,"Girls","Fleur",34
"299","Total Belgium",1995,"Girls","Alix",34
"300","Total Belgium",1995,"Girls","Lieze",34
"301","Total Belgium",1995,"Girls","Aylin",34
"302","Total Belgium",1995,"Girls","Bianca",34
"303","Total Belgium",1995,"Girls","Dana",34
"304","Total Belgium",1995,"Girls","Angélique",34
"305","Total Belgium",1995,"Girls","Saskia",34
"306","Total Belgium",1995,"Girls","Léa",33
"307","Total Belgium",1995,"Girls","Clémentine",33
"308","Total Belgium",1995,"Girls","Ornella",33
"309","Total Belgium",1995,"Girls","Demi",33
"310","Total Belgium",1995,"Girls","Yentl",33
"311","Total Belgium",1995,"Girls","Alysson",33
"312","Total Belgium",1995,"Girls","Ann-Sophie",33
"313","Total Belgium",1995,"Girls","Nadège",33
"314","Total Belgium",1995,"Girls","Tess",32
"315","Total Belgium",1995,"Girls","Annelore",32
"316","Total Belgium",1995,"Girls","Jessy",32
"317","Total Belgium",1995,"Girls","Coraline",32
"318","Total Belgium",1995,"Girls","Evelyn",32
"319","Total Belgium",1995,"Girls","Amy",31
"320","Total Belgium",1995,"Girls","Alessia",31
"321","Total Belgium",1995,"Girls","Hanna",31
"322","Total Belgium",1995,"Girls","Loes",31
"323","Total Belgium",1995,"Girls","Erika",31
"324","Total Belgium",1995,"Girls","Tina",31
"325","Total Belgium",1995,"Girls","Karolien",31
"326","Total Belgium",1995,"Girls","Romy",30
"327","Total Belgium",1995,"Girls","Lorena",30
"328","Total Belgium",1995,"Girls","Soraya",30
"329","Total Belgium",1995,"Girls","Ilona",30
"330","Total Belgium",1995,"Girls","Chelsey",30
"331","Total Belgium",1995,"Girls","Fauve",30
"332","Total Belgium",1995,"Girls","Indra",30
"333","Total Belgium",1995,"Girls","Leslie",30
"334","Total Belgium",1995,"Girls","Mandy",30
"335","Total Belgium",1995,"Girls","Khadija",29
"336","Total Belgium",1995,"Girls","Roxanne",29
"337","Total Belgium",1995,"Girls","Kawtar",29
"338","Total Belgium",1995,"Girls","Liese",29
"339","Total Belgium",1995,"Girls","Loredana",29
"340","Total Belgium",1995,"Girls","Andrea",29
"341","Total Belgium",1995,"Girls","Sonia",29
